CÜMLELER;ÇEŞİDİ
Melezlerden iğreniyorum.;Irkçılık
Yahudileri toplama kampına atıp sabun yapmak lazım.;Irkçılık
Ziyonistler dünyayı tehlikeye atıyor.;Irkçılık
Hindistanlıysa kesin dolandırıcıdır.;Irkçılık
Doğulular çok küfürbaz oluyorlar.;Irkçılık
Karadenizlilerin burnu kadar çirkin bir şey yok.;Irkçılık
Çan çin çon.;Irkçılık
Kıbrıslılar sadece kumardan anlar.;Irkçılık
Dinsiz İzmir.;Irkçılık
Kütahyalılar yalancı olurlar.;Irkçılık
Çingene çalar kürt oynar.;Irkçılık
Esmerleri hiç sevmem.;Irkçılık
Zenciler asla yüzemez.;Irkçılık
Katil Amerika.;Irkçılık
Jackie Chan kılıklı sarı soytarı.;Irkçılık
İspanyollar bilimden anlamaz varsa yoksa futbol.;Irkçılık
İtalyanların kafası çalışmaz.;Irkçılık
Melezler Amerika'nın sonunu getirecek.;Irkçılık
Pakistan yemeklerinin kokusuna dayanamıyorum.;Irkçılık
Türkler kültürsüz ve gaddardır.;Irkçılık
Latinoların genel geçim kaynağı kaçakçılık ve uyuşturucu.;Irkçılık
Polonyalılar bu ülkenin başına gelmiş en kötü şey.;Irkçılık
Araplar namuslarını bile satarlar.;Irkçılık
Buğday tenliysen ya teröristsin ya da gaspçı.;Irkçılık
Urfalılar isotçudur.;Irkçılık
Moğolların tarihi çalmak ve yağmalamaktan ibarettir.;Irkçılık
Beyazlar basketbol oynamayı bıraksın.;Irkçılık
Köle Obama'nın beyaz sarayda ne işi var.;Irkçılık
Goril tipli zenci.;Irkçılık
Hispanikler ve siyahiler bü ülkenin suç makineleri.;Irkçılık
Siyahileri seviyorum keşke bir tanesine sahip olsam.;Irkçılık
Asyalı kadınlar paraya tapar.;Irkçılık
Tüm siyah çocukları kürtajla aldırmak lazım.;Irkçılık
İnsanları ten rengine göre yargılamalıyız.;Irkçılık
Fare kılıklı çingeneler.;Irkçılık
Beyazdan boksör mü olurmuş haha hiç güleceğim yoktu.;Irkçılık
İsraillilerin hepsi çocuk katili.;Irkçılık
Beyaz kadınlar koca bir şaka.;Irkçılık
Araplar pistir.;Irkçılık
Azeriler soykırımcıdır.;Irkçılık
Alabamadaki tüm beyazlar ensest ilişkiyle doğmuştur.;Irkçılık
İyi ki siyah olarak doğmamışım.;Irkçılık
Kölelik keşke geri gelse.;Irkçılık
Aşağılık bir milletsiniz ;Irkçılık
Soysuz bir ülkesiniz;Irkçılık
Dünyadaki en pislik Millet sizsiniz ;Irkçılık
İnsanlarınız leş gibi kokuyor ;Irkçılık
Hepiniz maymuna benziyorsunuz ;Irkçılık
geri kafalı bir milletiniz ;Irkçılık
kömür gibi kapkarasın ;Irkçılık
dünyaya köle olmak için geldiniz ;Irkçılık
hizmet etmekten başka işe yaramazsınız;Irkçılık
Böcek yiyen pislikleriniz;Irkçılık
çölde yaşayan yobazlar;Irkçılık
kanınız beş para etmez;Irkçılık
satılmış insanlar sizi ;Irkçılık
soyunuzun nerden geldiği belli değil ;Irkçılık
İneğe tapan aptallar;Irkçılık
Koyun sürüsü gibi halkınız;Irkçılık
Ufak tefek çelimsiz Çekik gözlü varlıklar sizi;Irkçılık
Seni gidi kürt ;Irkçılık
Kürtler çok pis kokar.;Irkçılık
Aleviler oruç tutmayan kafirlerdir.;Irkçılık
Alevi olduğun için dövme yaptırırsın tabi ;Irkçılık
Lazların kafa 12 den sonra duruyor.;Irkçılık
ermenilerin hepsini asmak lazım;Irkçılık
kayserililer dolandırıcı olur.;Irkçılık
kahrolası pis türkler ülkemize girip istemediğimiz partilere oy veriyorlar.;Irkçılık
zencilere: köle lan bu, basbaya köle.;Irkçılık
malatyalılar çok cimri olur;Irkçılık
rizeliler çok boş boş konuşur.;Irkçılık
aleviler namaz kılmayan kafirlerdir;Irkçılık
karadenizlilerin kafası hiçbir şeye basmıyor.;Irkçılık
kürtler okumamış cahildirler.;Irkçılık
erzincanlı kimseye güven olmaz;Irkçılık
vanlılar çok terbiyesiz insanlardır.;Irkçılık
zenciler zeka seviyesi çok düşüktür.;Irkçılık
Erkek adam ağlamaz.;Cinsiyetçilik
Kızlar böyle sesli gülmez;Cinsiyetçilik
Kızlar kahkaha atmaz.;Cinsiyetçilik
Sen nasıl erkeksin?;Cinsiyetçilik
Bunu kızlar bile yapar;Cinsiyetçilik
Erkek adam hiçbir şeyden korkmaz.;Cinsiyetçilik
Sen kız mısın ağlıyorsun.;Cinsiyetçilik
Şuna bak erkek gibi maşallah.;Cinsiyetçilik
Bir kadının en güzel kariyeri annelliktir.;Cinsiyetçilik
Kadın dediğin susmasını bilir.;Cinsiyetçilik
Kadın başına oraya gidemezsin.;Cinsiyetçilik
Kızlar o işi yapamaz.;Cinsiyetçilik
Erkek dediğin ev işi yapmaz.;Cinsiyetçilik
Kadın çocuğuna bakar.;Cinsiyetçilik
Erkek kadından üstündür.;Cinsiyetçilik
Kadın erkekden üstündür.;Cinsiyetçilik
Kızlar öyle giyinemez.;Cinsiyetçilik
Kadınlar kocasına karşı susmalıdır.;Cinsiyetçilik
Kadın başına;Cinsiyetçilik
Bilim adamı ;Cinsiyetçilik
Kızını dövmeyen dizini döver.;Cinsiyetçilik
Erkek dediğin askerde adam olur.;Cinsiyetçilik
Erkek dediğin böyle mi oturur.;Cinsiyetçilik
Kılıbık herif;Cinsiyetçilik
Kalıbının adamı ol.;Cinsiyetçilik
Kadın dediğin usturuplu olur.;Cinsiyetçilik
Kadın dediğin elinin kiri;Cinsiyetçilik
Kadının yeri erkeğinin yanıdır;Cinsiyetçilik
Sakalım yok ki lafım geçsin;Cinsiyetçilik
Kızlar bunu yapmaz, ayıp.;Cinsiyetçilik
Yakışıyor mu senin gibi cici bir kıza?;Cinsiyetçilik
Sen nasıl erkeksin? Bunu kızlar bile yapar!;Cinsiyetçilik
Kadın dediğin küfür etmez.;Cinsiyetçilik
Kadınlar çok duygusal oluyorlar bu yüzden doğru kararlar veremiyorlar.;Cinsiyetçilik
Kadının maaşı erkekten fazla olmaz.;Cinsiyetçilik
Anasına bak kızını al.;Cinsiyetçilik
Hanım evladı;Cinsiyetçilik
Kız rengi.;Cinsiyetçilik
Kızı kendi gönlüne bırakırsan ya davulcuya ya zurnacıya.;Cinsiyetçilik
Kızın mı var, derdin var.;Cinsiyetçilik
Saçı uzun aklı kısa;Cinsiyetçilik
Yuvayı dişi kuş yapar.;Cinsiyetçilik
Erkeklik bende kalsın.;Cinsiyetçilik
Kadınlar teknoloji konularında yetenekli değillerdir.;Cinsiyetçilik
Erkek Zekası;Cinsiyetçilik
Kadın Gibi Erkek;Cinsiyetçilik
Erkek Gibi Kadın;Cinsiyetçilik
Erkekleri Anlamak Zordur;Cinsiyetçilik
Kadınları Anlamak Zordur;Cinsiyetçilik
Kadın sürücüler daima yavaştır.;Cinsiyetçilik
Erkeklerin mizah anlayışı daha iyidir.;Cinsiyetçilik
Kadınlar her zaman moda ile ilgilenir.;Cinsiyetçilik
Kadınlar aşçı olmalıdır çünkü mutfakları iyi yönetirler.;Cinsiyetçilik
Erkekler matematikte daha iyidir.;Cinsiyetçilik
Kadınlar lider olamaz, duygusal kararlar alırlar.;Cinsiyetçilik
Erkek çocuklar mavi giyer, kız çocuklar pembe giyer.;Cinsiyetçilik
Kadınların arabalar hakkında pek bir bilgisi yoktur.;Cinsiyetçilik
Kadınlar sadece güzellikleriyle ilgilenir.;Cinsiyetçilik
Erkekler spor konularında daha bilgili olmalıdır.;Cinsiyetçilik
Erkeklerin işte daha fazla başarı şansı vardır.;Cinsiyetçilik
Erkekler daha mantıklı düşünür.;Cinsiyetçilik
Erkekler duygusal konulara ilgi göstermez.;Cinsiyetçilik
Erkekler daha iyidir, onlar lider doğarlar.;Cinsiyetçilik
Kadınlar para yönetiminde beceriksizdir.;Cinsiyetçilik
Erkekler çocukları büyütme konusunda beceriksizdir.;Cinsiyetçilik
Kadınlar da kışkırtıcı giyinirse şiddeti hak eder.;Cinsiyetçilik
Erkekler duygusal değil.;Cinsiyetçilik
Kadınlar kocalarına itaat etmelidir, aksi halde dayak yerler.;Cinsiyetçilik
Erkeklerin duygusal zayıflıkları sömürülmeye açıktır.;Cinsiyetçilik
Kadınlar erkeklere saygı göstermezse şiddeti hak eder.;Cinsiyetçilik
Erkeklerin hakaretlere karşı daha dayanıklı olmaları gerekir.;Cinsiyetçilik
Kadınlar ev dışında çalışırlarsa aile içinde şiddeti hak ederler.;Cinsiyetçilik
Erkeklerin kendilerini savunma hakkı vardır, kadınlar da bunu bilmelidir.;Cinsiyetçilik
Kadınlar aile içindeki sorunları çözemedikleri için şiddet görüyorlar.;Cinsiyetçilik
Erkekler kadınlardan daha güçlüdür, bu nedenle kontrol sağlamalıdırlar.;Cinsiyetçilik
Kadınlar hissettiklerini açıkça ifade etmeli, erkekler ise duygularını gizlemelidir.;Cinsiyetçilik
Erkeklerin kararlarına itiraz edilmez, kadınlar ise onları desteklemelidir.;Cinsiyetçilik
Kadınlar iş yerinde liderlik rolü üstlenirse, onları zorluklar bekler.;Cinsiyetçilik
Kadınların temel amacı evlenip çocuk sahibi olmaktır.;Cinsiyetçilik
Erkekler ve kadınlar aynı sorumlulukları taşıyamaz.;Cinsiyetçilik
Erkekler daha güçlüdür, bu nedenle zorlu işleri onlar yapmalıdır.;Cinsiyetçilik
Kadınların düşünme kapasitesi erkeklere göre daha düşüktür.;Cinsiyetçilik
Erkekler daha az yardıma ihtiyaç duyar, kadınlar ise sürekli destek arar.;Cinsiyetçilik
Kadın erkekden daha az maaş alır.;Cinsiyetçilik
Kadınlar sürekli alışveriş yapar.;Cinsiyetçilik
Kadınlar gece dışarı çıkamaz.;Cinsiyetçilik
Karı gibi konuşma düzgün konuş.;Cinsiyetçilik
Erkekler karar alır, kadınlar ise destekler.;Cinsiyetçilik
İş adamı;Cinsiyetçilik
Kadın sürücü;Cinsiyetçilik
Erkeklik öldü mü ?;Cinsiyetçilik
Kadın hakem bu maçı yönetemedi.;Cinsiyetçilik
Hesabı daima erkek ödemelidir.;Cinsiyetçilik
Sen kadınsın ne anlarsın futboldan.;Cinsiyetçilik
Defansta adam adama oyun oynayalım.;Cinsiyetçilik
Evlilik teklifini erkek yapar.;Cinsiyetçilik
Dişi köpek kuyruk sallamazsa erkek köpek yaklaşmaz.;Cinsiyetçilik
Hanım hanımcık ol;Cinsiyetçilik
Erkekler kadınlar kadar empatik değildir.;Cinsiyetçilik
Tamirci dediğin erkek olur.;Cinsiyetçilik
Kuaför işini kadınlar daha iyi yapar.;Cinsiyetçilik
Kadınlar çok güzel yemek yapar.;Cinsiyetçilik
Kadınlar hayata daha perspektif bakar.;Cinsiyetçilik
Kadınlar güzellikleriyle değerlendirilir, yetenekleri ikinci planda kalır.;Cinsiyetçilik
Nakliyecilik yapan kişiler kadın olamaz.;Cinsiyetçilik
Kadınlar yönetici olamaz.;Cinsiyetçilik
Bu hayatta erkek olmadan kadın hayatta kalamaz.;Cinsiyetçilik
Evde babanın sözü geçer.;Cinsiyetçilik
Erkekden bakıcı olmaz.;Cinsiyetçilik
Kadın erkek eşit değildir.;Cinsiyetçilik
Kadınlar uçak kullanamaz.;Cinsiyetçilik
Sanayide kadın usta çalışamaz.;Cinsiyetçilik
Erkek adam sevgisini belli etmez.;Cinsiyetçilik
Kızlar her işi yapamaz.;Cinsiyetçilik
Bu hamuru erkekler pişiremez.;Cinsiyetçilik
Futbolu kadınlar erkekler kadar iyi oynayamaz.;Cinsiyetçilik
Kadınlar güreşde başarısızdırlar.;Cinsiyetçilik
Kadınlar güçsüzdür.;Cinsiyetçilik
Erkekler evde karı gibi oturamazlar.;Cinsiyetçilik
Futbol hakemleri kadın olursa sorun yaşarız.;Cinsiyetçilik
Mahalle muhtarı leyla abla bu mevkide başarılı olamayacak;Cinsiyetçilik
Belediye başkanı dediğin erkek olur.;Cinsiyetçilik
Adam gibi kimse kalmadı bu hayatta.;Cinsiyetçilik
Kadın dediğin trip atar.;Cinsiyetçilik
Kadınlar stand-up yapamaz.;Cinsiyetçilik
kadın komedyen olmaz.;Cinsiyetçilik
kadınlar ofsaytı bile bilmezler.;Cinsiyetçilik
erkek adam küpe takmaz.;Cinsiyetçilik
kızlar bilgisayar oyunlarından anlamaz.;Cinsiyetçilik
kadınlar güldür.;Cinsiyetçilik
Erkek adam pembe kıyafet giymez.;Cinsiyetçilik
Erkek adam kız gibi yürümez.;Cinsiyetçilik
erkek adam dedikodu yapmaz.;Cinsiyetçilik
kızlar sigara içmez.;Cinsiyetçilik
kadınlar horlamaz.;Cinsiyetçilik
Kadın dediğin ince belli olur.;Cinsiyetçilik
erkek adam dediğin kaslı olur.;Cinsiyetçilik
erkek adam dediğin iş sahibi olur.;Cinsiyetçilik
ilk adımı erkek atar.;Cinsiyetçilik
erkek adam dediğin oturmasını kalkmasını bilmeli.;Cinsiyetçilik
kadının beyanı esastır.;Cinsiyetçilik
kadınlar alkol içemez.;Cinsiyetçilik
kadınlar rap müzik yapamaz.;Cinsiyetçilik
dünyayı erkekler yönetir.;Cinsiyetçilik
kadın siyasetçi olmaz.;Cinsiyetçilik
kadınlar araba süremez.;Cinsiyetçilik
erkekler yemek yapamaz.;Cinsiyetçilik
kadınlar silah tutamaz.;Cinsiyetçilik
kadınlar kavga edemez.;Cinsiyetçilik
kadın dediğin evde oturur.;Cinsiyetçilik
kadınlar ayrı eve çıkamaz.;Cinsiyetçilik
kadın dediğin çocuk büyütür.;Cinsiyetçilik
kadınlar küfür etmez.;Cinsiyetçilik
kadın yazılımcı olmaz.;Cinsiyetçilik
kadın müteahhit olmaz.;Cinsiyetçilik
kadının yaptıgı ev yıkılır.;Cinsiyetçilik
kadın güvenlik olmaz.;Cinsiyetçilik
kadın dediğin yediğine içtiğine dikkat eder.;Cinsiyetçilik
kadınlar kendi aralarında gün yapar.;Cinsiyetçilik
erkek evin direğidir.;Cinsiyetçilik
karı gibi gülme.;Cinsiyetçilik
kadınlar objedir.;Cinsiyetçilik
kadınlar temizlik yapar.;Cinsiyetçilik
çayı kadın demler.;Cinsiyetçilik
yemeği kadın yapar.;Cinsiyetçilik
sosyal medyada kadınlar ön plandadır.;Cinsiyetçilik
kadınların çok takipçisi olur.;Cinsiyetçilik
reklam yüzleri kadınlardan oluşur.;Cinsiyetçilik
kadın taraftar olmaz.;Cinsiyetçilik
kadınlar ev işlerinden anlamaz.;Cinsiyetçilik
Erkek adam ağır işte çalışır.;Cinsiyetçilik
erkek adamın evi,işi,arabası olmalı.;Cinsiyetçilik
Kadınlar çok konuşur.;Cinsiyetçilik
kadınlarla muhabbet edilmez.;Cinsiyetçilik
kadınlar tek başlarına ayakta duramaz.;Cinsiyetçilik
kadınlar tarlada çalışamaz.;Cinsiyetçilik
kim demiş kadınlar komik değil diye ;Cinsiyetçilik
kadınların vicdanı yoktur.;Cinsiyetçilik
kadınlar sadece paraya bakar.;Cinsiyetçilik
parasız erkeği sadece annesi sever.;Cinsiyetçilik
soyadlar erkeğin soyundan gelir.;Cinsiyetçilik
kadınlarla kibar konuşulur.;Cinsiyetçilik
erkekler odundur.;Cinsiyetçilik
erkek adam ağırbaşlıdır.;Cinsiyetçilik
erkeklerin kız kankası olamaz.;Cinsiyetçilik
kadınlara güven olmaz.;Cinsiyetçilik
kadınlara borç verilmez.;Cinsiyetçilik
kadınlarla dertleşilmez.;Cinsiyetçilik
erkek adam düşmez.;Cinsiyetçilik
kadınlar doğal değildir.;Cinsiyetçilik
erkek bakir değilse sorun olmaz, kadın bakire değilse namussuz olur.;Cinsiyetçilik
Kadının gözyaşından korkacaksın.;Cinsiyetçilik
Kadının olduğu yerde huzur vardır.;Cinsiyetçilik
erkek adamın evi dağınık olur.;Cinsiyetçilik
Kadının evi derli toplu olur.;Cinsiyetçilik
kadınlar osurmaz.;Cinsiyetçilik
kadınlar bilek güreşi yapamaz.;Cinsiyetçilik
erkek kadına bakmakla görevlidir.;Cinsiyetçilik
kadın erkeğe muhtaçtır.;Cinsiyetçilik
Kadınlar güçlü olan erkekleri sever.;Cinsiyetçilik
Adem mal olduğu için vizeye son gün çalışır.;Hakaret
Hakan tam bir eşek.;Hakaret
yakup eşeklik yapıp her şeyi son dakikada yapmaya çalışır;Hakaret
Emrullah ucubesi Hakanla uğraşır.;Hakaret
Oyun oynayan kızlar Şişkodur.;Hakaret
kadın dizisi izleyen erkek gaydır.;Hakaret
Futbol oyunlarını klavye ile oynayan erkek salaktır.;Hakaret
Aşk filmi izleyen erkek kendisine saygısı olmayan bir kancıktır.;Hakaret
Çekirdek yiyen insan kendisine saygısı olmayan bir kancıktır.;Hakaret
Kızlarla voleybol oynayan erkek embesildir.;Hakaret
Evden çıkmayan insanlar embesildir.;Hakaret
gördüğü her kıza aşık olan erkek yavşaktır.;Hakaret
Moron hala burada bekliyor.;Hakaret
Orada durma öküz gibi hareket et.;Hakaret
yemeğin tuzunu ayarlamayı beceremeyen kız maldır.;Hakaret
Fenerbahçeyi destekleyen beyinsizdir.;Hakaret
alkol tüketen insanların kendi vücutlarına saygısı yoktur.;Hakaret
sigara içen kız iticidir.;Hakaret
bu kadar da salak olamazsın;Hakaret
kızla buluşmak için kankasını eken erkekler şerefsizdir.;Hakaret
söz verip tutmayan insanlar puşttur.;Hakaret
haftada 3 kez duş almayan erkek pisliktir.;Hakaret
orada durma aptal gibi gel buraya ;Hakaret
Kaanın yaptığı yemek bok gibidir.;Hakaret
Dilan Polat hırsızdır.;Hakaret
Dilan polat dolandırıcıdır;Hakaret
Bugün dükkana aptal kuzenin geldi.;Hakaret
koltuk altı kıllarını kesmeyen insanlar bok gibidir.;Hakaret
Aralıksız tatil yapmak istiyor beyinsiz.;Hakaret
2 gün tanıdığı kişiyle sevgili olan maldır.;Hakaret
Bakakaldı saftirik.;Hakaret
Senin kafan çalışmıyor gerçekten diyorum.;Hakaret
Zürriyetsiz bir kişisin yoksa normalde böyle şeyler yapmazsın.;Hakaret
Siyasi görüşü olmayan insanlar embesil varlıklardır.;Hakaret
yakup andaval olduğu için evi temizlemez.;Hakaret
vegan kızlar et yemedikleri için Gerizekalıdır.;Hakaret
Sınava son gün çalışan insan gerizekaldıır.;Hakaret
trip atan kız maldır.;Hakaret
Saftirik hala anlamadı.;Hakaret
Öküz gibi bakıyor;Hakaret
Hakemler adil karar almadıkları için şerefsizdirler.;Hakaret
Dostuna yalan söyleyen yalancıdır.;Hakaret
Kayıtsız kalmak ahmaklıktır.;Hakaret
Oyun oynarken hile yapan insan şerefsizdir.;Hakaret
Basit bir sınavdan kalan maldır.;Hakaret
Burakın ev bok gibi;Hakaret
Bu insanlar gerçekten aptal.;Hakaret
Bu proje tam bir fiyasko.;Hakaret
Bu fikir tamamen saçma.;Hakaret
Bunu kim düşündü, acaba beyni var mı?;Hakaret
Bu saçma işi kim düşündü?;Hakaret
Sen nasıl bir beyinsizsin anlamadım.;Hakaret
Bu problemide çözemiyorsan malsındır.;Hakaret
Karaktersiz insan her zaman karaktersizdir.;Hakaret
Şike yapan karakteriszdir.;Hakaret
Ali salak olmasa bu kızla konuşmaz.;Hakaret
Sen bu kadar saftirik olursan karında seni aldatır.;Hakaret
Kardeşi şerefsiz olan adam kendide şerefsizdir.;Hakaret
Kız arkadaşım çok kıt kafalı.;Hakaret
Hakkı öğretmen çok ses çıkınca susun gerizekalılar diye bağırdı.;Hakaret
Bu adamların hiçbir fikri yok.;Hakaret
Bu karar gerçekten salakça.;Hakaret
Bu öneri tamamen gereksiz.;Hakaret
Bu proje saçmalığın ötesinde;Hakaret
